Data Series,All Items (Index),All Items -> Housing & Utilities (Index),All Items -> Housing & Utilities -> Accommodation (Index)
2022,108.4,106.4,106.2
2021,102.1,101.1,101.8
2020,99.8,99.7,100.4
2019,100,100,100
2018,99.4,101,101
2017,99,102.4,104.1
2016,98.4,105,108.5
2015,99,109.5,112.4
2014,99.5,113.5,115.4
2013,98.5,113.4,115
2012,96.2,110.3,110.5
2011,92,101.7,101.5
2010,87.4,93.3,92.8
2009,85,91.3,92
2008,84.5,89.5,87.3
2007,79.3,77.8,76.4
2006,77.6,77.6,75.2
2005,76.9,75.2,74.7
2004,76.5,74.2,74.7
2003,75.3,74.3,75.1
2002,74.9,74.6,76
2001,75.2,76.2,76.6
2000,74.4,74.8,76.1
1999,73.4,72.7,na
1998,73.4,73.7,na
1997,73.6,71.8,na
1996,72.2,69.8,na
1995,71.2,69.1,na
1994,70,68.5,na
1993,67.9,67.5,na
1992,66.4,65.2,na
1991,64.9,63.5,na
1990,62.7,62.1,na
,,,
Footnotes:,,,
"The weighting pattern of the Consumer Price Index (CPI) was derived from the expenditure values collected from the 2017/18 Household Expenditure Survey (HES) and updated to 2019 values by taking into account price changes between 2017/18 and 2019.  For more information on the CPI rebasing, refer to the Information Paper 'Rebasing of the Consumer Price Index (2019 as Base Year)' (https://www.singstat.gov.sg/-/media/files/publications/economy/ip-e48.pdf).",,,
,,,
Definitions,,,
2019 As Base Year:,,,
The base year is the period with which all the other periods are compared. The base year for the current Consumer Price Index (CPI) is 2019.,,,
All Items:,,,
"This contains all the CPI expenditure divisions, groups and classes.",,,
Consumer Price Index:,,,
The Consumer Price Index (CPI) is designed to measure the average price changes in a fixed basket of consumption goods and services commonly purchased by the resident households over time. It is widely used as a measure of the consumer price inflation.,,,
,,,
Notation:,,,
na   not available or not applicable,,,
nec  not elsewhere classified,,,
nes  not elsewhere specified,,,
 -     nil or negligible or not significant,,,
Notes,,,
Numbers may not add up to the totals due to rounding.,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,
Values are shown in Singapore dollars (unless otherwise specified).,,,
,,,
Generated by: SingStat Table Builder,,,
Date generated: 15/03/2023,,,
Contact: info@singstat.gov.sg,,,
